"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"136","2024-04-01",746409,88.2,1924,6.9,2.18162,6.211,0.048,0.145,84.5,20,0,"Houston Astros","Toronto Blue Jays",10,0,102
"137","2024-04-02",745680,88.3,2145,6.16,2.56983,-0.642,0.324,0.246,88.1,22.2222222222222,0,"Oakland Athletics","Boston Red Sox",4,5,100
"138","2024-04-02",745680,89.9,2177,6.41,2.41043,0.466,0.285,0.291,90.7,44,7.31707317073171,"Oakland Athletics","Boston Red Sox",4,5,100
"139","2024-04-02",746169,86.9,2288,6.76,3.08621,-1.673,0.369,0.373,88.3,42.8571428571428,5.4054054054054,"Los Angeles Dodgers","San Francisco Giants",5,4,97
"140","2024-04-02",746169,85.1,2147,6.69,2.55273,0.691,0.314,0.292,88.8,35.7142857142857,2.63157894736842,"Los Angeles Dodgers","San Francisco Giants",5,4,97
"141","2024-04-02",746898,89.1,2073,6.57,2.23584,-6.643,0.522,0.494,95.5,56.25,13.0434782608696,"Chicago Cubs","Colorado Rockies",12,2,87
"142","2024-04-02",746898,89,2121,6.7,2.29978,-0.115,0.296,0.348,89.4,41.6666666666667,5.71428571428571,"Chicago Cubs","Colorado Rockies",12,2,87
"143","2024-04-02",745598,86.9,2144,6.2,2.67365,1.592,0.231,0.247,89.7,50,2.7027027027027,"Philadelphia Phillies","Cincinnati Reds",9,4,101
"144","2024-04-02",745598,90,2315,5.95,2.19237,-4,0.397,0.382,93.1,57.1428571428571,5.4054054054054,"Philadelphia Phillies","Cincinnati Reds",9,4,101
"145","2024-04-02",746009,90.7,2298,6.56,2.13789,-0.275,0.33,0.333,86.4,36.3636363636364,2.77777777777778,"Milwaukee Brewers","Minnesota Twins",3,2,98
"146","2024-04-02",746009,90.1,2264,6.5,2.49315,3.306,0.159,0.244,86.4,40.9090909090909,0,"Milwaukee Brewers","Minnesota Twins",3,2,98
